13771,amd ryzen 7 eight core 1700x 3.80ghz socket am4 processor retail,5,5851,AMD Ryzen 7 1700X 3.4GHz Box,2615,CPUs
13772,amd ryzen 7 1700x 8 core am4 cpu/processor,4,5851,AMD Ryzen 7 1700X 3.4GHz Box,2615,CPUs
13773,amd ryzen 7 1700x 3.4ghz 16mb l3 processor,14,5851,AMD Ryzen 7 1700X 3.4GHz Box,2615,CPUs
13774,amd ryzen 7 1700x 95 w 8 core/16 threads 3.8ghz 4mb cpu black,3,5851,AMD Ryzen 7 1700X 3.4GHz Box,2615,CPUs
13775,open box amd ryzen 7 1700x 3.8 ghz 8 core 95w cpu processor,30,5851,AMD Ryzen 7 1700X 3.4GHz Box,2615,CPUs
13776,amd ryzen 7 1700x 8 core 16 thread am4 cpu/processor,121,5851,AMD Ryzen 7 1700X 3.4GHz Box,2615,CPUs
13777,wof processor amd ryzen 7 1700x 8 x 3.4 ghz octa c,16,5851,AMD Ryzen 7 1700X 3.4GHz Box,2615,CPUs
13778,amd ryzen 7 1700x cpu am4 3.4ghz 3.8 turbo 8 core 95w 20mb cac,18,5851,AMD Ryzen 7 1700X 3.4GHz Box,2615,CPUs
13779,amd prozessor cpu ryzen 7 sockel am4 1700x 8 x 3 4 ghz 16 mb 95w 14nm box yd170xbcaewof,36,5851,AMD Ryzen 7 1700X 3.4GHz Box,2615,CPUs
13780,intel core intel core i7 7700 processor 8m cache up to 4.20 ghz,18,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13781,intel core i7 7700 3.60ghz s1151 8mb cache kaby lake cpu,8,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13782,intel bx80677i77700cpu intel core i77700 8m cache up to 4.20ghz grey,17,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13783,intel core i7 7700 kaby lake quad core 3.6 ghz lga 1151 processor,5,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13784,intel core i7 7700 3.60ghz s1151 8mb cache kaby lake cpu,10,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13785,intel core i7 7700 3.60ghz socket 1151 cpu processor,30,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13786,intel core i7 7700 3.6 ghz quadcore 8 mb cache cpu black,3,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13787,intel core i7 7700 3.60ghz socket 1151 8mb retail boxed processor,4,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13788,intel core i7 7700 processor 3.6 ghz box 8 mb smart cache,14,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13789,intel core i7 7700 processor,7,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13790,intel core i7 7700 kabylake 3.6 ghz socket 1151 8mb cache retail boxed processor,121,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13791,boxed processor intel core i7 i7 7700 4 x 3.6 ghz,16,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13792,intel core i7 7700 cpu prozessor 3 6 ghz skt 1151 65 w kaby lake 14nm bx80677i77700,36,5852,Intel Core i7-7700 3.6GHz Box,2615,CPUs
13793,intel core intel core i7 8700k processor 12m cache up to 4.70 ghz,18,5853,Intel Core i7-8700K 3.7GHz  Box,2615,CPUs
13794,intel core i7 8700k 1151 3.7ghz coffee lake processor,5,5853,Intel Core i7-8700K 3.7GHz  Box,2615,CPUs
13795,intel core i7 8700k 3.70ghz coffee lake hex core processor,30,5853,Intel Core i7-8700K 3.7GHz  Box,2615,CPUs
13796,intel bx80684i78700k 8th gen core i7 8700k processor,3,5853,Intel Core i7-8700K 3.7GHz  Box,2615,CPUs
13797,intel core i7 8700k processor 3.7 ghz box 12 mb smart cache,14,5853,Intel Core i7-8700K 3.7GHz  Box,2615,CPUs
13798,intel core i7 8700k 8th gen s1151 3.70ghz 12mb cache coffee lake,8,5853,Intel Core i7-8700K 3.7GHz  Box,2615,CPUs
13799,intel core i7 8700k socket 1151 coffee lake 6 core 12 thread 3.7ghz 12mb cache retail cpu,121,5853,Intel Core i7-8700K 3.7GHz  Box,2615,CPUs
13800,corei7 8700kprozessor3 7 ghzbox 12 mbsmartcache,90,5853,Intel Core i7-8700K 3.7GHz  Box,2615,CPUs
13801,wof processor intel core i7 i7 8700k 6 x 3.7 ghz h,16,5853,Intel Core i7-8700K 3.7GHz  Box,2615,CPUs
13802,intel i7 8700k cpu prozessor 3 7 ghz 12 mb 6 core 12 threads coffee lake box bx80684i78700k,36,5853,Intel Core i7-8700K 3.7GHz  Box,2615,CPUs
13803,intel i7 8700k coffee lake 3.7ghz six core,197,5853,Intel Core i7-8700K 3.7GHz  Box,2615,CPUs
13804,intel core intel core i3 8100 processor 6m cache 3.60 ghz 3.6 g,18,5854,Intel Core i3-8100 3.6GHz  Box,2615,CPUs
13805,intel core i3 8100 8th gen s1151 3.60ghz 6mb cache coffee lake cpu,8,5854,Intel Core i3-8100 3.6GHz  Box,2615,CPUs
13806,intel core i3 8100 3.6ghz coffee lake quad core processor,30,5854,Intel Core i3-8100 3.6GHz  Box,2615,CPUs
13807,intel core i3 8100 processor 3.6 ghz box 6 mb smart cache,14,5854,Intel Core i3-8100 3.6GHz  Box,2615,CPUs
13808,intel bx80684i38100 8th gen core i3 8100 processor,3,5854,Intel Core i3-8100 3.6GHz  Box,2615,CPUs
13809,intel core i3 8100 1151 3.6ghz coffee lake processor,5,5854,Intel Core i3-8100 3.6GHz  Box,2615,CPUs
13810,intel core i3 8100 quad core socket 1151 3.60ghz processor,4,5854,Intel Core i3-8100 3.6GHz  Box,2615,CPUs
